Product ID,Product Name,Category,Sub-Category,total_orders,total_units,total_revenue,total_profit,profit_margin_pct,avg_discount_pct
FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",Furniture,Chairs,4,21,1327.83,-21.01,-1.6,10.8
FUR-CH-10001797,"Safco Chair Connectors, 6/Carton",Furniture,Chairs,4,15,881.19,-1.41,-0.2,10.4
FUR-CH-10001802,Hon Every-Day Chair Series Swivel Task Chairs,Furniture,Chairs,3,18,967.84,-16.73,-1.7,11.7
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs,8,33,8774.5,-22.03,-0.3,10.7
FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Furniture,Chairs,6,23,1420.5,4.76,0.3,9.6
FUR-CH-10001973,Office Star Flex Back Scooter Chair with White Frame,Furniture,Chairs,7,32,1775.68,24.24,1.4,8.9
FUR-CH-10002017,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,Furniture,Chairs,5,23,245.09,-18.11,-7.4,10.4
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,8,32,21870.58,-249.01,-1.1,11.1
FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Furniture,Chairs,2,10,694.19,2.29,0.3,9.3
FUR-CH-10002073,Hon Olson Stacker Chairs,Furniture,Chairs,4,17,5427.99,-23.54,-0.4,9.4
FUR-CH-10002084,Hon Mobius Operator's Chair,Furniture,Chairs,5,19,2705.78,24.63,0.9,8.5
FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,Furniture,Chairs,4,13,2586.19,5.04,0.2,9.5
FUR-CH-10002304,"Global Stack Chair without Arms, Black",Furniture,Chairs,7,28,901.51,-6.57,-0.7,10.2
FUR-CH-10002317,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,Furniture,Chairs,1,7,207.18,1.25,0.6,9.0
FUR-CH-10002320,Hon Pagoda Stacking Chairs,Furniture,Chairs,4,16,6483.8,45.74,0.7,9.3
FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,6,23,7582.37,8.31,0.1,9.8
FUR-CH-10002335,Hon GuestStacker Chair,Furniture,Chairs,9,30,6936.1,36.71,0.5,10.0
FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs,7,34,1311.88,-50.41,-3.8,10.3
FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs,6,20,1589.41,-2.47,-0.2,10.7
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,11,39,4619.99,-6.22,-0.1,10.5
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,15,63,3641.27,-23.67,-0.7,10.1
FUR-CH-10002758,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",Furniture,Chairs,2,7,1268.7,21.28,1.7,8.7
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,7,32,764.7,8.73,1.1,9.4
FUR-CH-10002780,Office Star - Task Chair with Contemporary Loop Arms,Furniture,Chairs,2,12,600.47,-0.06,-0.0,9.6
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs,14,51,5436.16,-18.31,-0.3,9.8
FUR-CH-10002961,"Leather Task Chair, Black",Furniture,Chairs,5,26,864.31,-5.55,-0.6,8.9
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,10,37,5989.2,18.08,0.3,9.1
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs,8,34,1448.84,10.85,0.7,10.4
FUR-CH-10003199,Office Star - Contemporary Task Swivel Chair,Furniture,Chairs,6,22,1842.27,11.94,0.6,9.1
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,Chairs,9,40,3680.54,6.78,0.2,9.5
FUR-CH-10003312,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs,6,24,5282.42,14.2,0.3,9.9
FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chairs,9,37,7979.44,-28.16,-0.4,10.7
FUR-CH-10003396,Global Deluxe Steno Chair,Furniture,Chairs,10,35,1770.54,-26.33,-1.5,10.4
FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",Furniture,Chairs,8,45,1396.44,-12.58,-0.9,9.8
FUR-CH-10003606,SAFCO Folding Chair Trolley,Furniture,Chairs,3,11,705.32,13.68,1.9,9.0
FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,Chairs,6,29,3980.15,-9.42,-0.2,10.3
FUR-CH-10003761,Global Italian Leather Office Chair,Furniture,Chairs,2,10,969.25,-11.98,-1.2,11.6
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",Furniture,Chairs,14,56,4166.88,-5.96,-0.1,9.6
FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,10,41,2204.86,2.45,0.1,9.6
FUR-CH-10003833,Novimex Fabric Task Chair,Furniture,Chairs,8,26,1695.24,16.27,1.0,9.3
FUR-CH-10003846,Hon Valutask Swivel Chairs,Furniture,Chairs,4,20,1242.05,2.19,0.2,9.6
FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,Furniture,Chairs,4,9,922.74,9.04,1.0,9.2
FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,6,24,1341.52,-15.38,-1.1,9.8
FUR-CH-10003973,GuestStacker Chair with Chrome Finish Legs,Furniture,Chairs,8,36,9070.94,8.36,0.1,10.2
FUR-CH-10003981,Global Commerce Series Low-Back Swivel/Tilt Chairs,Furniture,Chairs,7,35,4420.06,42.49,1.0,9.5
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,8,31,8665.19,-7.44,-0.1,9.5
FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,8,38,8431.0,113.99,1.4,8.7
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,8,27,2908.22,-18.57,-0.6,10.9
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,13,42,11572.78,-80.68,-0.7,10.9
FUR-CH-10004289,Global Super Steno Chair,Furniture,Chairs,7,27,2389.9,13.5,0.6,9.7
FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,9,25,2185.95,39.09,1.8,9.2
FUR-CH-10004495,"Global Leather and Oak Executive Chair, Black",Furniture,Chairs,8,39,6410.87,-22.61,-0.4,10.0
FUR-CH-10004540,Global Chrome Stack Chair,Furniture,Chairs,6,31,815.86,14.09,1.7,10.0
FUR-CH-10004626,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Furniture,Chairs,5,17,1543.62,1.44,0.1,11.4
FUR-CH-10004675,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,7,19,5212.11,17.55,0.3,9.7
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,8,44,1830.15,0.0,0.0,8.8
FUR-CH-10004754,"Global Stack Chair with Arms, Black",Furniture,Chairs,7,31,803.46,-4.18,-0.5,11.0
FUR-CH-10004853,"Global Manager's Adjustable Task Chair, Storm",Furniture,Chairs,6,27,2959.21,-3.71,-0.1,11.3
FUR-CH-10004860,Global Low Back Tilter Chair,Furniture,Chairs,8,41,1746.95,35.55,2.0,8.7
FUR-CH-10004875,Harbour Creations 67200 Series Stacking Chairs,Furniture,Chairs,8,33,1501.9,-23.24,-1.5,10.9
FUR-CH-10004886,Bevis Steel Folding Chairs,Furniture,Chairs,6,21,1775.08,-7.88,-0.4,10.8
FUR-CH-10004983,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,5,23,4185.48,-16.9,-0.4,10.1
FUR-CH-10004997,Hon Every-Day Series Multi-Task Chairs,Furniture,Chairs,10,33,6748.48,-39.87,-0.6,10.6
FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,9,37,161.03,4.93,3.1,9.8
FUR-FU-10000023,Eldon Wave Desk Accessories,Furniture,Furnishings,9,39,236.78,0.97,0.4,9.6
FUR-FU-10000073,Deflect-O Glasstique Clear Desk Accessories,Furniture,Furnishings,3,14,124.74,-0.82,-0.7,8.7
FUR-FU-10000076,24-Hour Round Wall Clock,Furniture,Furnishings,6,24,487.51,3.21,0.7,9.4
FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,Furnishings,6,26,308.99,12.21,4.0,10.4
FUR-FU-10000175,DAX Wood Document Frame.,Furniture,Furnishings,4,12,159.27,-15.31,-9.6,11.5
FUR-FU-10000193,Tenex Chairmats For Use with Hard Floors,Furniture,Furnishings,6,18,467.71,-21.0,-4.5,9.3
FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furniture,Furnishings,7,22,45.4,9.67,21.3,11.2
FUR-FU-10000221,"Master Caster Door Stop, Brown",Furniture,Furnishings,9,31,176.78,-31.45,-17.8,10.5
FUR-FU-10000222,"Seth Thomas 16"" Steel Case Clock",Furniture,Furnishings,5,22,441.73,16.67,3.8,9.3
FUR-FU-10000246,Aluminum Document Frame,Furniture,Furnishings,5,23,244.4,5.39,2.2,8.9
FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,3,11,100.32,-0.24,-0.2,11.1
FUR-FU-10000277,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Furniture,Furnishings,5,19,1685.44,-6.24,-0.4,10.2
FUR-FU-10000293,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Furniture,Furnishings,4,15,1431.94,0.12,0.0,9.9
FUR-FU-10000305,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",Furniture,Furnishings,3,18,468.47,-1.39,-0.3,11.3
FUR-FU-10000308,Deflect-o Glass Clear Studded Chair Mats,Furniture,Furnishings,7,22,1579.37,-26.46,-1.7,9.7
FUR-FU-10000320,OIC Stacking Trays,Furniture,Furnishings,6,23,82.83,-11.44,-13.8,9.9
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,5,18,338.98,-3.46,-1.0,10.9
FUR-FU-10000409,"GE 4 Foot Flourescent Tube, 40 Watt",Furniture,Furnishings,3,13,98.87,-9.05,-9.2,8.9
FUR-FU-10000448,Tenex Chairmats For Use With Carpeted Floors,Furniture,Furnishings,4,19,175.78,-8.43,-4.8,10.5
FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings,4,21,357.95,0.68,0.2,9.7
FUR-FU-10000550,Stacking Trays by OIC,Furniture,Furnishings,6,25,72.71,13.91,19.1,12.4
FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings,5,20,3861.06,36.89,1.0,9.3
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,8,25,455.07,-1.93,-0.4,9.1
FUR-FU-10000672,"Executive Impressions 10"" Spectator Wall Clock",Furniture,Furnishings,5,15,258.72,8.13,3.1,9.6
FUR-FU-10000719,"DAX Cubicle Frames, 8-1/2 x 11",Furniture,Furnishings,4,11,145.69,-8.47,-5.8,10.1
FUR-FU-10000723,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Furnishings,9,31,1115.64,29.16,2.6,10.0
FUR-FU-10000732,Eldon 200 Class Desk Accessories,Furniture,Furnishings,6,26,120.58,-7.95,-6.6,9.2
FUR-FU-10000747,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,Furnishings,6,20,910.4,-3.65,-0.4,11.0
FUR-FU-10000755,Eldon Expressions Mahogany Wood Desk Collection,Furniture,Furnishings,2,3,93.6,9.15,9.8,8.7
FUR-FU-10000758,DAX Natural Wood-Tone Poster Frame,Furniture,Furnishings,5,25,513.71,8.8,1.7,9.9
FUR-FU-10000771,"Eldon 200 Class Desk Accessories, Smoke",Furniture,Furnishings,4,18,138.16,6.53,4.7,9.9
FUR-FU-10000794,"Eldon Stackable Tray, Side-Load, Legal, Smoke",Furniture,Furnishings,5,27,155.38,-7.85,-5.1,9.9
FUR-FU-10000820,Tensor Brushed Steel Torchiere Floor Lamp,Furniture,Furnishings,4,24,146.11,-5.72,-3.9,10.9
FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings,6,25,1184.23,-11.28,-1.0,9.7
FUR-FU-10001025,"Eldon Imàge Series Desk Accessories, Clear",Furniture,Furnishings,3,7,53.46,0.83,1.6,9.4
FUR-FU-10001037,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",Furniture,Furnishings,5,19,127.03,-27.41,-21.6,10.0
FUR-FU-10001057,Tensor Track Tree Floor Lamp,Furniture,Furnishings,4,17,299.85,21.17,7.1,8.9
FUR-FU-10001085,3M Polarizing Light Filter Sleeves,Furniture,Furnishings,4,12,216.34,2.74,1.3,11.8
FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,Furniture,Furnishings,8,31,455.46,-17.34,-3.8,9.7
FUR-FU-10001185,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Furniture,Furnishings,4,12,649.53,11.99,1.8,9.5
FUR-FU-10001196,DAX Cubicle Frames - 8x10,Furniture,Furnishings,5,22,125.79,3.2,2.5,9.3
FUR-FU-10001215,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",Furniture,Furnishings,4,18,681.45,9.07,1.3,9.5
FUR-FU-10001290,Executive Impressions Supervisor Wall Clock,Furniture,Furnishings,4,24,867.26,-1.53,-0.2,10.6
FUR-FU-10001379,"Executive Impressions 16-1/2"" Circular Wall Clock",Furniture,Furnishings,2,13,58.78,1.79,3.0,8.9
FUR-FU-10001424,Dax Clear Box Frame,Furniture,Furnishings,6,24,96.03,1.73,1.8,9.9
FUR-FU-10001468,Tenex Antistatic Computer Chair Mats,Furniture,Furnishings,6,22,3317.01,9.35,0.3,8.1
FUR-FU-10001473,DAX Wood Document Frame,Furniture,Furnishings,9,28,477.8,-0.11,-0.0,9.7
FUR-FU-10001473,"Eldon Executive Woodline II Desk Accessories, Mahogany",Furniture,Furnishings,5,18,361.87,7.86,2.2,10.3
FUR-FU-10001475,"Contract Clock, 14"", Brown",Furniture,Furnishings,4,16,272.55,-0.89,-0.3,11.4
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,5,15,160.54,3.07,1.9,9.3
FUR-FU-10001488,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Furniture,Furnishings,7,36,2267.97,-1.89,-0.1,9.4
FUR-FU-10001546,Dana Swing-Arm Lamps,Furniture,Furnishings,7,32,108.94,11.09,10.2,10.7
FUR-FU-10001588,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Furniture,Furnishings,4,16,437.7,27.15,6.2,9.7
FUR-FU-10001591,Advantus Panel Wall Certificate Holder - 8.5x11,Furniture,Furnishings,6,24,270.84,-4.3,-1.6,8.7
FUR-FU-10001602,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",Furniture,Furnishings,6,16,546.19,-11.81,-2.2,9.0
FUR-FU-10001617,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",Furniture,Furnishings,2,13,66.56,-4.92,-7.4,9.1
FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings,9,40,106.57,-5.02,-4.7,10.3
FUR-FU-10001731,Acrylic Self-Standing Desk Frames,Furniture,Furnishings,8,21,93.98,-21.49,-22.9,10.3
FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,Furnishings,5,7,167.55,-12.03,-7.2,11.3
FUR-FU-10001847,Eldon Image Series Black Desk Accessories,Furniture,Furnishings,5,31,48.85,15.72,32.2,9.8
FUR-FU-10001852,"Eldon Regeneration Recycled Desk Accessories, Smoke",Furniture,Furnishings,5,20,33.76,1.46,4.3,9.6
FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Furniture,Furnishings,6,28,434.56,-0.31,-0.1,10.5
FUR-FU-10001867,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Furniture,Furnishings,3,15,121.3,8.2,6.8,11.1
FUR-FU-10001876,"Computer Room Manger, 14""",Furniture,Furnishings,7,20,636.61,4.07,0.6,9.3
FUR-FU-10001889,Ultra Door Pull Handle,Furniture,Furnishings,5,19,239.86,-6.65,-2.8,9.4
FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings,8,26,137.17,-19.61,-14.3,12.3
FUR-FU-10001934,Magnifier Swing Arm Lamp,Furniture,Furnishings,5,19,251.76,-19.93,-7.9,9.0
FUR-FU-10001935,3M Hangers With Command Adhesive,Furniture,Furnishings,8,37,108.04,13.49,12.5,9.8
